codigo,disciplina,carga,creditos,carater,etapa

INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,6,Obrigatória,1
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,6,Obrigatória,1
INF05008,FUNDAMENTOS DE ALGORITMOS,60,4,Obrigatória,1
INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,60,4,Obrigatória,1
MAT01375,MATEMÁTICA DISCRETA B,60,4,Obrigatória,1

MAT01355,ÁLGEBRA LINEAR I - A,60,4,Obrigatória,2
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,60,4,Obrigatória,2
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,6,Obrigatória,2
INF01203,ESTRUTURAS DE DADOS,60,4,Obrigatória,2
INF05508,LÓGICA PARA COMPUTAÇÃO,60,4,Obrigatória,2
INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,60,4,Obrigatória,2